3000,4314
3001,1219
3002,1111
3003,714
3004,4680
3005,2764
3006,3264
3007,1466
3008,1546
3009,3319
3010,216
3011,2004
3012,2075
3013,650
3014,193
3015,2205
3016,1421
3017,822
3018,4445
3019,2811
3020,4218
3021,2134
3022,1841
3023,3756
3024,2751
3025,3764
3026,859
3027,4004
3028,2327
3029,3270
3030,2983
3031,976
3032,2622
3033,933
3034,4886
3035,3711
3036,3770
3037,440
3038,698
3039,4893
3040,4401
3041,2197
3042,3589
3043,489
3044,3667
3045,1097
3046,1219
3047,1487
3048,3267
3049,1655
3050,847
3051,4501
3052,604
3053,2536
3054,4543
3055,4997
3056,2494
3057,3078
3058,3748
3059,911
3060,4157
3061,368
3062,3488
3063,2916
3064,1146
3065,1149
3066,904
3067,4917
3068,602
3069,4353
3070,3289
3071,1493
3072,3119
3073,4288
3074,339
3075,3565
3076,2372
3077,683
3078,790
3079,681
3080,3163
3081,210
3082,4170
3083,4149
3084,3235
3085,4374
3086,4188
3087,3587
3088,3246
3089,1471
3090,980
3091,2228
3092,4836
3093,887
3094,3033
3095,1832
3096,4263
3097,4620
3098,3705
3099,4282
3100,4364
